#separator:tab
#html:true
#columns:Front	Back	Tags
Front	Back	Tags
Know the words by heart but haven't opened Scripture in a week. Besides asking, what do I do?	Seek in Scripture - open the Book.<br><br><a href="https://www.jorap.com/notes/ask-seek-knock/">Read note: Ask Seek Knock</a>	jorap-notes Eternal Principles Prayer
Bad week and dread God changed His mind about me. What do I rest on?	Christ&#x27;s promise - not my streak.<br><br><a href="https://www.jorap.com/notes/assurance/">Read note: Assurance</a>	jorap-notes Eternal Principles Faith
Mind jumps to final review - panic heaven might get revoked. What's already settled?	Salvation at faith - works reviewed after.<br><br><a href="https://www.jorap.com/notes/assurance/">Read note: Assurance</a>	jorap-notes Eternal Principles Faith
Doubt loop after hidden sin - am I really saved? Anchor?	Trust what Christ finished - confess, walk.<br><br><a href="https://www.jorap.com/notes/assurance/">Read note: Assurance</a>	jorap-notes Eternal Principles Faith
Someone says they can't know if they're saved. One sentence back?	Rest on His promise - not your report card.<br><br><a href="https://www.jorap.com/notes/assurance/">Read note: Assurance</a>	jorap-notes Eternal Principles Faith
Waiting to feel holy enough before I trust I'm His. Wrong order?	Believe first - rest follows faith.<br><br><a href="https://www.jorap.com/notes/assurance/">Read note: Assurance</a>	jorap-notes Eternal Principles Faith
Guilt looping even after I trusted Him - shame won't quit. What's the move?	Rest on His promise - confess, walk.<br><br><a href="https://www.jorap.com/notes/assurance/">Read note: Assurance</a>	jorap-notes Eternal Principles Faith
Teammate buried under elder-care stress - my calendar has one free hour. What's the move?	Run the errand - hands on the load.<br><br><a href="https://www.jorap.com/notes/bear-each-others-burdens/">Read note: Bear Each Other&#x27;s Burdens</a>	jorap-notes Eternal Principles Community
Small group keeps praying about his job loss - resume still untouched. What's the move?	Show up with edits - not commentary.<br><br><a href="https://www.jorap.com/notes/bear-each-others-burdens/">Read note: Bear Each Other&#x27;s Burdens</a>	jorap-notes Eternal Principles Community
Thumb hovering over advice text - their crate still on their back alone. What's the move?	Delete the sermon - carry a handle.<br><br><a href="https://www.jorap.com/notes/bear-each-others-burdens/">Read note: Bear Each Other&#x27;s Burdens</a>	jorap-notes Eternal Principles Community
Tuesday errand free, their crisis is tonight - my move?	Offer the hour - share the weight.<br><br><a href="https://www.jorap.com/notes/bear-each-others-burdens/">Read note: Bear Each Other&#x27;s Burdens</a>	jorap-notes Eternal Principles Community
I only sent thoughts and prayers last week - relationship cooling. What's the move?	Hands on the load this time - not hints.<br><br><a href="https://www.jorap.com/notes/bear-each-others-burdens/">Read note: Bear Each Other&#x27;s Burdens</a>	jorap-notes Eternal Principles Community
Volunteer slot open - I want the credit without the crate. What's missing?	Pick up a handle - love, not theater.<br><br><a href="https://www.jorap.com/notes/bear-each-others-burdens/">Read note: Bear Each Other&#x27;s Burdens</a>	jorap-notes Eternal Principles Community
Charismatic preacher, messy lives in followers. How do I evaluate?	Watch fruit - grapes from vines, not hype.<br><br><a href="https://www.jorap.com/notes/by-their-fruits/">Read note: By Their Fruits</a>	jorap-notes Eternal Principles Ethics
Trending teacher everyone bookmarks. Filter before I trust?	Outcome over credentials - what does it produce?<br><br><a href="https://www.jorap.com/notes/by-their-fruits/">Read note: By Their Fruits</a>	jorap-notes Eternal Principles Ethics
Credentials look perfect - something still feels off over months. What do I watch?	Fruit over time - not the polish.<br><br><a href="https://www.jorap.com/notes/by-their-fruits/">Read note: By Their Fruits</a>	jorap-notes Eternal Principles Ethics
Can't tell if this teaching helps or hurts. One filter before I follow?	What good does it produce over time?<br><br><a href="https://www.jorap.com/notes/by-their-fruits/">Read note: By Their Fruits</a>	jorap-notes Eternal Principles Ethics
About to condemn the teacher's soul online. What do I do instead of playing judge?	Look at fruit - don&#x27;t judge their soul.<br><br><a href="https://www.jorap.com/notes/by-their-fruits/">Read note: By Their Fruits</a>	jorap-notes Eternal Principles Ethics
New book everyone's sharing. One check before I adopt the teaching?	What fruit does it produce - not charisma?<br><br><a href="https://www.jorap.com/notes/by-their-fruits/">Read note: By Their Fruits</a>	jorap-notes Eternal Principles Ethics
Calculating if I'm good enough to pray tonight. What posture enters the kingdom?	Come like a kid - stop earning points.<br><br><a href="https://www.jorap.com/notes/childlike-faith/">Read note: Childlike Faith</a>	jorap-notes Eternal Principles Discipleship
New believer ashamed they don't know the Bible. What would I tell them?	Receive like a child - dependence, not achievement.<br><br><a href="https://www.jorap.com/notes/childlike-faith/">Read note: Childlike Faith</a>	jorap-notes Eternal Principles Discipleship
Negotiating with God before I trust the promise. What's the entry posture?	Stop calculating - receive the gift.<br><br><a href="https://www.jorap.com/notes/childlike-faith/">Read note: Childlike Faith</a>	jorap-notes Eternal Principles Discipleship
Treating faith like a score I'm building. What's wrong?	Trust receives - faith isn&#x27;t stacked good deeds.<br><br><a href="https://www.jorap.com/notes/childlike-faith/">Read note: Childlike Faith</a>	jorap-notes Eternal Principles Discipleship
Afraid to ask a dumb question in small group. What would Jesus say?	Come like a child - ask, don&#x27;t perform.<br><br><a href="https://www.jorap.com/notes/childlike-faith/">Read note: Childlike Faith</a>	jorap-notes Eternal Principles Discipleship
Delaying trust until I understand everything. When do I enter?	Now - receive before I&#x27;ve figured it all out.<br><br><a href="https://www.jorap.com/notes/childlike-faith/">Read note: Childlike Faith</a>	jorap-notes Eternal Principles Discipleship
Tax bill feels like betraying the kingdom if I pay. What's the move?	Pay lawful duty - worship God as ultimate.<br><br><a href="https://www.jorap.com/notes/christianity-and-politics/">Read note: Christianity and Politics</a>	jorap-notes Eternal Principles Priorities
Group chat turned tribal - thumb on a dunk. Kingdom move before I post?	Bless neighbor - don&#x27;t baptize the rage.<br><br><a href="https://www.jorap.com/notes/christianity-and-politics/">Read note: Christianity and Politics</a>	jorap-notes Eternal Principles Priorities
Candidate lost and dread hit like God's plan failed. What's ultimate?	Christ reigns - politics isn&#x27;t Lord.<br><br><a href="https://www.jorap.com/notes/christianity-and-politics/">Read note: Christianity and Politics</a>	jorap-notes Eternal Principles Priorities
Skipping civic duty because I'm kingdom-first - duty feels like betrayal. What's the move?	Pay lawful duty - kingdom higher, still pay.<br><br><a href="https://www.jorap.com/notes/christianity-and-politics/">Read note: Christianity and Politics</a>	jorap-notes Eternal Principles Priorities
News scroll feels like every headline needs panic prayer. What's the filter?	Kingdom first - not every headline.<br><br><a href="https://www.jorap.com/notes/christianity-and-politics/">Read note: Christianity and Politics</a>	jorap-notes Eternal Principles Priorities
Church friend says my ballot proves faithfulness. One sentence back?	Ultimate allegiance is Christ - not my ballot.<br><br><a href="https://www.jorap.com/notes/christianity-and-politics/">Read note: Christianity and Politics</a>	jorap-notes Eternal Principles Priorities
Same temper after conversion - feels like faith didn't take. What's God still doing?	Reshaping slowly - standing settled at faith.<br><br><a href="https://www.jorap.com/notes/christlikeness/">Read note: Christlikeness</a>	jorap-notes Eternal Principles Sanctification
Kind at church, sharp with the cashier an hour later. What kind of change is Christlikeness?	Ordinary Tuesdays - not one emotional Sunday.<br><br><a href="https://www.jorap.com/notes/christlikeness/">Read note: Christlikeness</a>	jorap-notes Eternal Principles Sanctification
Trying to look holy enough to feel saved - performance before standing. What's the move?	Justified at faith - likeness follows.<br><br><a href="https://www.jorap.com/notes/christlikeness/">Read note: Christlikeness</a>	jorap-notes Eternal Principles Sanctification
Virtue streak is my proof God accepts me. Mixing up what saves vs what grows?	Faith saves first - likeness grows after.<br><br><a href="https://www.jorap.com/notes/christlikeness/">Read note: Christlikeness</a>	jorap-notes Eternal Principles Sanctification
Forcing patience by willpower with almost no prayer this week. What's missing?	Abide first - likeness from the vine.<br><br><a href="https://www.jorap.com/notes/christlikeness/">Read note: Christlikeness</a>	jorap-notes Eternal Principles Sanctification
Waiting until I look like Jesus before I call myself His disciple. When does following start?	Today - grow from faith already received.<br><br><a href="https://www.jorap.com/notes/christlikeness/">Read note: Christlikeness</a>	jorap-notes Eternal Principles Sanctification
Outserved my burnout until Sunday collapsed - hero badge still on. What's the move?	Admit weary - come before you crack.<br><br><a href="https://www.jorap.com/notes/come-to-me-weary/">Read note: Come to Me Weary</a>	jorap-notes Eternal Principles Discipleship
Ministry week left me hollow - guilt sermon to myself loading. What's the move?	Take the yoke - shorter yes list.<br><br><a href="https://www.jorap.com/notes/come-to-me-weary/">Read note: Come to Me Weary</a>	jorap-notes Eternal Principles Discipleship
Trying to earn rest with a quiet-time streak first - wrong order?	Rest is invitation - not merit pay.<br><br><a href="https://www.jorap.com/notes/come-to-me-weary/">Read note: Come to Me Weary</a>	jorap-notes Eternal Principles Discipleship
Another volunteer yes while my tank is empty - hero badge loading again. What's the move?	One honest nap - then the yoke fits.<br><br><a href="https://www.jorap.com/notes/come-to-me-weary/">Read note: Come to Me Weary</a>	jorap-notes Eternal Principles Discipleship
Forcing through exhaustion by will alone - crushing solo labor. What's the move?	Come weary - shared weight with Him.<br><br><a href="https://www.jorap.com/notes/come-to-me-weary/">Read note: Come to Me Weary</a>	jorap-notes Eternal Principles Discipleship
Prayer feels like another task I'll fail when drained. What's the move?	Pray as part of rest - not proof.<br><br><a href="https://www.jorap.com/notes/come-to-me-weary/">Read note: Come to Me Weary</a>	jorap-notes Eternal Principles Discipleship
Anger streak eating the marriage - still hiding from accountability brother. What's the move?	Confess tonight - prayer, not podcast.<br><br><a href="https://www.jorap.com/notes/confess-to-one-another/">Read note: Confess to One Another</a>	jorap-notes Eternal Principles Community
Hidden bitterness toward teammate - every huddle poisoned. What's the move?	One honest coffee - speak the sin.<br><br><a href="https://www.jorap.com/notes/confess-to-one-another/">Read note: Confess to One Another</a>	jorap-notes Eternal Principles Community
Treating confession like re-earning heaven - wrong motive?	Already His - restore fellowship.<br><br><a href="https://www.jorap.com/notes/confess-to-one-another/">Read note: Confess to One Another</a>	jorap-notes Eternal Principles Community
Performance image blocking small group honesty - what's rotting?	Confess to trusted believer - healing lane.<br><br><a href="https://www.jorap.com/notes/confess-to-one-another/">Read note: Confess to One Another</a>	jorap-notes Eternal Principles Community
Sin festering three weeks - fellowship lane cracking. What's the move?	Speak it - invite prayer this week.<br><br><a href="https://www.jorap.com/notes/confess-to-one-another/">Read note: Confess to One Another</a>	jorap-notes Eternal Principles Community
Tempted to vent sin as gossip instead of confession. What's the move?	Trusted room - pray together, don&#x27;t post.<br><br><a href="https://www.jorap.com/notes/confess-to-one-another/">Read note: Confess to One Another</a>	jorap-notes Eternal Principles Community
Said yes to small group lead without counting Thursday travel season. What's missing?	Name the cost - adjust or decline honestly.<br><br><a href="https://www.jorap.com/notes/count-the-cost/">Read note: Count the Cost</a>	jorap-notes Eternal Principles Discipleship
Kid wanted to follow until he heard no spare bed - honesty needed?	Name the cost before the public yes.<br><br><a href="https://www.jorap.com/notes/count-the-cost/">Read note: Count the Cost</a>	jorap-notes Eternal Principles Discipleship
Treating discipleship vow like free mood - surprise debt incoming. What's the move?	Name time, comfort, reputation - then yes.<br><br><a href="https://www.jorap.com/notes/count-the-cost/">Read note: Count the Cost</a>	jorap-notes Eternal Principles Discipleship
Tower half-built in my calendar - embarrassed mid-wall. What's the move?	Estimate before ground breaks - honest math.<br><br><a href="https://www.jorap.com/notes/count-the-cost/">Read note: Count the Cost</a>	jorap-notes Eternal Principles Discipleship
Eternal life is free - cross still has weight this season. One check?	Gift is free - discipleship costs honesty.<br><br><a href="https://www.jorap.com/notes/count-the-cost/">Read note: Count the Cost</a>	jorap-notes Eternal Principles Discipleship
Stage allegiance before spreadsheet - fork ahead. What comes first?	Honest estimate - before the spotlight yes.<br><br><a href="https://www.jorap.com/notes/count-the-cost/">Read note: Count the Cost</a>	jorap-notes Eternal Principles Discipleship
Two job offers and I'm polling the group chat for vibes. One step before deciding?	Renew first - which serves the kingdom?<br><br><a href="https://www.jorap.com/notes/discern-his-will-daily/">Read note: Discern His Will Daily</a>	jorap-notes Eternal Principles Obedience
Trying to discern God's will while my mind is full of culture's noise. One step?	Renew the mind - then test His will.<br><br><a href="https://www.jorap.com/notes/discern-his-will-daily/">Read note: Discern His Will Daily</a>	jorap-notes Eternal Principles Obedience
Last possession, three plays, crowd screaming for the hero shot. Coach move?	Test the plan - not the hot hand.<br><br><a href="https://www.jorap.com/notes/discern-his-will-daily/">Read note: Discern His Will Daily</a>	jorap-notes Eternal Principles Obedience
Waiting until my thoughts feel holy before I decide. Wrong order?	Saved first - discern from a fed mind now.<br><br><a href="https://www.jorap.com/notes/discern-his-will-daily/">Read note: Discern His Will Daily</a>	jorap-notes Eternal Principles Obedience
Big fork tomorrow and I haven't opened Scripture all week. What's missing?	Renew first - then approve His will.<br><br><a href="https://www.jorap.com/notes/discern-his-will-daily/">Read note: Discern His Will Daily</a>	jorap-notes Eternal Principles Obedience
Choosing comfort over the hard right thing - mind fed, fork still easy. What's the move?	Test His will - pick the hard right.<br><br><a href="https://www.jorap.com/notes/discern-his-will-daily/">Read note: Discern His Will Daily</a>	jorap-notes Eternal Principles Obedience
Youth program runs smooth but I haven't prayed alone in weeks - leadership ate following. What's the move?	Pray alone first - follow when nobody watches.<br><br><a href="https://www.jorap.com/notes/discipleship-vs-leadership/">Read note: Discipleship vs Leadership</a>	jorap-notes Eternal Principles Leadership
Promotion email and I'm skipping confession because the team needs a strong face. Two seats?	Lead outward - still answer upward to Christ.<br><br><a href="https://www.jorap.com/notes/discipleship-vs-leadership/">Read note: Discipleship vs Leadership</a>	jorap-notes Eternal Principles Leadership
Running standups feels like my whole spiritual life. What's missing?	Follow Jesus privately - not only direct people.<br><br><a href="https://www.jorap.com/notes/discipleship-vs-leadership/">Read note: Discipleship vs Leadership</a>	jorap-notes Eternal Principles Leadership
Title on the door and I stopped doing what Jesus said in private. Category error?	Obey Christ anyway - title isn&#x27;t following.<br><br><a href="https://www.jorap.com/notes/discipleship-vs-leadership/">Read note: Discipleship vs Leadership</a>	jorap-notes Eternal Principles Leadership
Servant leadership workshop but zero private obedience - horizontal only. What's missing?	Private obedience - vertical allegiance still required.<br><br><a href="https://www.jorap.com/notes/discipleship-vs-leadership/">Read note: Discipleship vs Leadership</a>	jorap-notes Eternal Principles Leadership
Team looks to me in the blackout - who do I follow while I set pace?	Christ first - then lead from that footing.<br><br><a href="https://www.jorap.com/notes/discipleship-vs-leadership/">Read note: Discipleship vs Leadership</a>	jorap-notes Eternal Principles Leadership
Grace saved me but life looks unchanged - obedience treated like optional extra. What's the move?	Follow today - grateful walk, not optional.<br><br><a href="https://www.jorap.com/notes/discipleship/">Read note: Discipleship</a>	jorap-notes Eternal Principles Discipleship
Bible study high, same sin pattern untouched. Hearing without doing - what's missing?	Do what He said - act today.<br><br><a href="https://www.jorap.com/notes/discipleship/">Read note: Discipleship</a>	jorap-notes Eternal Principles Discipleship
Notes garden full, gospel never leaves my mouth. What's the move?	Share it - make disciples, don&#x27;t hoard.<br><br><a href="https://www.jorap.com/notes/discipleship/">Read note: Discipleship</a>	jorap-notes Eternal Principles Discipleship
Cross-bearing to feel saved - mixing up what buys heaven vs what follows after. Wrong order?	Faith saves - cross shapes daily following.<br><br><a href="https://www.jorap.com/notes/discipleship/">Read note: Discipleship</a>	jorap-notes Eternal Principles Discipleship
One big surrender last year, same comfort zone today. What frequency does following need?	Daily - pick up cross again today.<br><br><a href="https://www.jorap.com/notes/discipleship/">Read note: Discipleship</a>	jorap-notes Eternal Principles Discipleship
Someone says you are not saved unless you surrendered everything at conversion. What sits where?	Trust Christ for life - dedication belongs to the walk after.<br><br><a href="https://www.jorap.com/notes/discipleship/">Read note: Discipleship</a>	jorap-notes Eternal Principles Discipleship
Everyone at the table is copying the loudest cynic - I feel the script pulling me in. What's the interrupt?	Refuse the pattern - speak from truth.<br><br><a href="https://www.jorap.com/notes/dont-copy-the-pattern/">Read note: Don&#x27;t Copy the Pattern</a>	jorap-notes Eternal Principles Obedience
Thumb hovering over the hot take before I've read the actual story. One interrupt?	Pause before the reply - don&#x27;t copy the room.<br><br><a href="https://www.jorap.com/notes/dont-copy-the-pattern/">Read note: Don&#x27;t Copy the Pattern</a>	jorap-notes Eternal Principles Obedience
Team trash-talk after one bad call - league script loading. One move?	Refuse the pattern - composure over copycat rage.<br><br><a href="https://www.jorap.com/notes/dont-copy-the-pattern/">Read note: Don&#x27;t Copy the Pattern</a>	jorap-notes Eternal Principles Obedience
Comparison trap after someone's highlight reel post. Interrupt?	Close the feed - open truth.<br><br><a href="https://www.jorap.com/notes/dont-copy-the-pattern/">Read note: Don&#x27;t Copy the Pattern</a>	jorap-notes Eternal Principles Obedience
Hurry-and-react at dinner again - same script as the morning news. First refusal?	Stop copying - breathe, then speak.<br><br><a href="https://www.jorap.com/notes/dont-copy-the-pattern/">Read note: Don&#x27;t Copy the Pattern</a>	jorap-notes Eternal Principles Obedience
Algorithm feed rewriting my mood before coffee. Posture before it loads?	Refuse the default - Scripture before scroll.<br><br><a href="https://www.jorap.com/notes/dont-copy-the-pattern/">Read note: Don&#x27;t Copy the Pattern</a>	jorap-notes Eternal Principles Obedience
2am spiral about bills - treating worry like it'll fix tomorrow. What's the move?	Stop the spiral - today&#x27;s enough.<br><br><a href="https://www.jorap.com/notes/dont-worry/">Read note: Don&#x27;t Worry</a>	jorap-notes Eternal Principles Priorities
Thumb on news refresh about tomorrow's meeting. One move that breaks the worry loop?	Today&#x27;s enough - don&#x27;t borrow tomorrow&#x27;s trouble.<br><br><a href="https://www.jorap.com/notes/dont-worry/">Read note: Don&#x27;t Worry</a>	jorap-notes Eternal Principles Priorities
Treating worry like it'll add hours to my life. What does it actually do?	Nothing useful - trust the Father.<br><br><a href="https://www.jorap.com/notes/dont-worry/">Read note: Don&#x27;t Worry</a>	jorap-notes Eternal Principles Priorities
Calendar packed, soul thin - anxious about everything at once. What comes first?	Seek kingdom first - needs follow.<br><br><a href="https://www.jorap.com/notes/dont-worry/">Read note: Don&#x27;t Worry</a>	jorap-notes Eternal Principles Priorities
Good week but still replaying what might go wrong Sunday. What's the antidote?	Trust provision - Father knows what I need.<br><br><a href="https://www.jorap.com/notes/dont-worry/">Read note: Don&#x27;t Worry</a>	jorap-notes Eternal Principles Priorities
Work hustle and trust in God pulling opposite - two bosses in my chest. What's the move?	One Master - drop anxious serving of tomorrow.<br><br><a href="https://www.jorap.com/notes/dont-worry/">Read note: Don&#x27;t Worry</a>	jorap-notes Eternal Principles Priorities
Secret prayer and tempted to tell everyone so I feel credited. Who pays?	Father in secret - not the audience.<br><br><a href="https://www.jorap.com/notes/eternal-rewards/">Read note: Eternal Rewards</a>	jorap-notes Eternal Principles Stewardship
Good works week - feels like I bought heaven. Correct the order?	Grace saved first - reward follows faithfulness.<br><br><a href="https://www.jorap.com/notes/eternal-rewards/">Read note: Eternal Rewards</a>	jorap-notes Eternal Principles Stewardship
Stacked service feels like merit ladder to eternal life. What's the error?	Gift first - repayment second.<br><br><a href="https://www.jorap.com/notes/eternal-rewards/">Read note: Eternal Rewards</a>	jorap-notes Eternal Principles Stewardship
Hidden generosity no one saw - discouraged it does not count. Who sees?	Father sees hidden - he&#x27;ll repay.<br><br><a href="https://www.jorap.com/notes/eternal-rewards/">Read note: Eternal Rewards</a>	jorap-notes Eternal Principles Stewardship
One heroic volunteer week mistaken for down payment on heaven. What's true?	Saved by faith - rewards after.<br><br><a href="https://www.jorap.com/notes/eternal-rewards/">Read note: Eternal Rewards</a>	jorap-notes Eternal Principles Stewardship
Small daily obedience feels too small to matter later. What still counts?	Faithful acts compound - Father repays.<br><br><a href="https://www.jorap.com/notes/eternal-rewards/">Read note: Eternal Rewards</a>	jorap-notes Eternal Principles Stewardship
Coworker says good deeds earn heaven - like salvation takes both. One sentence?	Works answer grace - they don&#x27;t buy heaven.<br><br><a href="https://www.jorap.com/notes/faith-and-works/">Read note: Faith and Works</a>	jorap-notes Eternal Principles Faith
Trust is real but my week shows zero follow-through. What's the move?	Act on what you trust - works answer grace.<br><br><a href="https://www.jorap.com/notes/faith-and-works/">Read note: Faith and Works</a>	jorap-notes Eternal Principles Faith
Tempted to treat good deeds as the other half of the ticket. Correct the order?	Faith saves first - then faith acts.<br><br><a href="https://www.jorap.com/notes/faith-and-works/">Read note: Faith and Works</a>	jorap-notes Eternal Principles Faith
Listing good deeds when someone asks how to be saved. Lead with what?	Trust Christ - works follow, don&#x27;t pay.<br><br><a href="https://www.jorap.com/notes/faith-and-works/">Read note: Faith and Works</a>	jorap-notes Eternal Principles Faith
Hearing sermons, saving verses, zero obedience - hearing without doing. What's missing?	Hear and do - build on what He said.<br><br><a href="https://www.jorap.com/notes/faith-and-works/">Read note: Faith and Works</a>	jorap-notes Eternal Principles Faith
Obedience to feel acceptable to God again. Mixing up what saves?	Faith saves - obedience responds.<br><br><a href="https://www.jorap.com/notes/faith-and-works/">Read note: Faith and Works</a>	jorap-notes Eternal Principles Faith
Buried the gift - played it safe, never used what God gave. What's the move?	Use it faithfully - not hide it.<br><br><a href="https://www.jorap.com/notes/faithful-steward/">Read note: Faithful Steward</a>	jorap-notes Eternal Principles Stewardship
One heroic mission trip I treat as my whole eternal report card. What gets reviewed?	Faithful use over years - not one week.<br><br><a href="https://www.jorap.com/notes/faithful-steward/">Read note: Faithful Steward</a>	jorap-notes Eternal Principles Stewardship
Small daily obedience feels too small to matter later. What still counts?	Faithful in little - master repays.<br><br><a href="https://www.jorap.com/notes/faithful-steward/">Read note: Faithful Steward</a>	jorap-notes Eternal Principles Stewardship
Stacked service feels like proof I earned heaven. Correct the order?	Saved by faith - well done follows.<br><br><a href="https://www.jorap.com/notes/faithful-steward/">Read note: Faithful Steward</a>	jorap-notes Eternal Principles Stewardship
Tempted to compare my gifts to someone else's bigger platform. What's mine to steward?	What He gave me - use that faithfully.<br><br><a href="https://www.jorap.com/notes/faithful-steward/">Read note: Faithful Steward</a>	jorap-notes Eternal Principles Stewardship
Hidden faithful work nobody applauded - tempted to quit because no one saw. What's still true?	Master counts it - not the audience.<br><br><a href="https://www.jorap.com/notes/faithful-steward/">Read note: Faithful Steward</a>	jorap-notes Eternal Principles Stewardship
One mission trip as my whole eternal report card. What still counts?	Steady use over years - not one week.<br><br><a href="https://www.jorap.com/notes/faithfulness/">Read note: Faithfulness</a>	jorap-notes Eternal Principles Fruit
Buried the talent - played safe, never used what God gave. What's the move?	Use faithfully - don&#x27;t hide it.<br><br><a href="https://www.jorap.com/notes/faithfulness/">Read note: Faithfulness</a>	jorap-notes Eternal Principles Fruit
Small daily obedience feels too small to matter. What still counts?	Faithful in little - master sees.<br><br><a href="https://www.jorap.com/notes/faithfulness/">Read note: Faithfulness</a>	jorap-notes Eternal Principles Fruit
Stacked service feels like proof I earned heaven. Correct order?	Saved by faith - steady walk follows.<br><br><a href="https://www.jorap.com/notes/faithfulness/">Read note: Faithfulness</a>	jorap-notes Eternal Principles Fruit
Platform reach vanished overnight - tempted to coast on old wins. What's the move?	Steady today - borrowed reach, keep using it.<br><br><a href="https://www.jorap.com/notes/faithfulness/">Read note: Faithfulness</a>	jorap-notes Eternal Principles Fruit
Hidden talent from fear of failure - master's return looming. What's the move?	Invest what&#x27;s entrusted - don&#x27;t bury it.<br><br><a href="https://www.jorap.com/notes/faithfulness/">Read note: Faithfulness</a>	jorap-notes Eternal Principles Fruit
Someone slandered me online - thumb on the angry reply. What's the move?	Pray - Father, forgive them.<br><br><a href="https://www.jorap.com/notes/father-forgive-them/">Read note: Father Forgive Them</a>	jorap-notes Eternal Principles Jesus Prayers
Enemy just hurt me - I want them to feel it. What comes first?	Pray for their forgiveness first.<br><br><a href="https://www.jorap.com/notes/father-forgive-them/">Read note: Father Forgive Them</a>	jorap-notes Eternal Principles Jesus Prayers
They don't know what they're doing - tempted to use it as excuse. What's the move?	Intercede now - don&#x27;t wait for repentance.<br><br><a href="https://www.jorap.com/notes/father-forgive-them/">Read note: Father Forgive Them</a>	jorap-notes Eternal Principles Jesus Prayers
Waiting until I win before I forgive - grudge on hold. What's the move?	Forgive while it hurts - He did at the nails.<br><br><a href="https://www.jorap.com/notes/father-forgive-them/">Read note: Father Forgive Them</a>	jorap-notes Eternal Principles Jesus Prayers
Coworker sabotaged me and walked by - grudge loading. What's the move?	Father, forgive them.<br><br><a href="https://www.jorap.com/notes/father-forgive-them/">Read note: Father Forgive Them</a>	jorap-notes Eternal Principles Jesus Prayers
Apology still has not come - forgiveness on hold. What comes first?	Pray forgiveness first - no apology required.<br><br><a href="https://www.jorap.com/notes/father-forgive-them/">Read note: Father Forgive Them</a>	jorap-notes Eternal Principles Jesus Prayers
Finance wants numbers softened and my team's watching. What comes first?	Refuse the soften - follow Christ first.<br><br><a href="https://www.jorap.com/notes/follow-christ-then-lead/">Read note: Follow Christ, Then Lead</a>	jorap-notes Eternal Principles Obedience
Parents might leave if I teach the hard verse. What comes first?	Teach it plain - then stay and answer.<br><br><a href="https://www.jorap.com/notes/follow-christ-then-lead/">Read note: Follow Christ, Then Lead</a>	jorap-notes Eternal Principles Obedience
Room wants a cover-up I would never take alone. One sequence?	Christ&#x27;s command first - then lead the team through it.<br><br><a href="https://www.jorap.com/notes/follow-christ-then-lead/">Read note: Follow Christ, Then Lead</a>	jorap-notes Eternal Principles Obedience
Captain's chair and shortcut temptation in the same breath. Who do I follow?	Christ - then set pace for the room.<br><br><a href="https://www.jorap.com/notes/follow-christ-then-lead/">Read note: Follow Christ, Then Lead</a>	jorap-notes Eternal Principles Obedience
